lang,start,end
una,17823846,17823898
aai,17823898,17823904
dww,17823904,17823915
mwa,17823915,17823926
kud,17823926,17824055
bwf,17824055,17824066
mox,17824066,17824430
gar,17824430,17824441
viv,17824441,17830475
tqp,17830475,17830486
avb,17830486,17830498
lmg,17830498,17830769
uvl,17830769,17830819
mee,17830819,17831065
ncf,17831065,17831076
pek,17831076,17831123
ppn,17831123,17831130
urv,17831130,17831330
tgi,17831330,17831337
baa,17831337,17831941
kji,17831941,17832164
nfl,17832164,17832629
ntu,17832629,17833085
ngr,17833085,17833447
tnk,17833447,17833781
tnp,17833781,17833863
nua,17833863,17833874
uli,17833874,17833921
bgt,17833921,17834330
llu,17834330,17834878
mlu,17834878,17835139
kwf,17835139,17835383
kwd,17835383,17835796
apb,17835796,17836472
plb,17836472,17836516
lgk,17836516,17836564
vnm,17836564,17836843
lzl,17836843,17837116
lrv,17837116,17837163
hiw,17837163,17837214
lht,17837214,17837263
tql,17837263,17837323
mlv,17837323,17837595
vra,17837595,17837643
btr,17837643,17837839
nnd,17837839,17837893
vao,17837893,17837940
onu,17837940,17837988
aul,17837988,17838036
vrt,17838036,17838158
mmm,17838158,17838205
rar,17838205,17838731
haw,17838731,17863940
esk,17863940,17864623
ysr,17864623,17864667
hai,17864667,17864717
eya,17864717,17864948
aht,17864948,17867728
txc,17867728,17867740
tht,17867740,17867754
chp,17867754,17867825
xsl,17867825,17869866
crx,17869866,17871800
srs,17871800,17871847
xup,17871847,17871858
tuu,17871858,17871869
coq,17871869,17871880
gce,17871880,17872017
hup,17872017,17872804
mvb,17872804,17873879
nav,17873879,17878953
apw,17878953,17879189
apm,17879189,17879305
kut,17879305,17879368
bla,17879368,17880649
chy,17880649,17890227
arp,17890227,17895776
ats,17895776,17895812
nwa,17895812,17895825
alq,17895825,17897265
ojs,17897265,17897343
ojw,17897343,17897381
otw,17897381,17897468
skc,17897468,17897540
sjw,17897540,17897593
crk,17897593,17897700
crm,17897700,17897718
crl,17897718,17897754
crj,17897754,17934280
abe,17934280,17936020
aaq,17936020,17936109
xpq,17936109,17936871
wam,17936871,17937243
xlo,17937243,17937258
qyp,17937258,17937281
pim,17937281,17937368
umu,17937368,17937443
mjy,17937443,17937500
wiy,17937500,17937629
yur,17937629,17940515
xch,17940515,17940526
qui,17940526,17940593
hei,17940593,17940638
has,17940638,17940652
nuk,17940652,17941574
dtd,17941574,17941586
myh,17941586,17941635
coo,17941635,17941782
squ,17941782,17941845
hur,17941845,17942501
nok,17942501,17942641
str,17942641,17945957
clm,17945957,17948201
lut,17948201,17948321
slh,17948321,17948398
til,17948398,17948524
cjh,17948524,17948929
lil,17948929,17949057
thp,17949057,17949189
shs,17949189,17949329
oka,17949329,17949469
fla,17949469,17949733
crd,17949733,17949855
kjq,17949855,17949871
kee,17949871,17949904
yuc,17949904,17949957
asb,17949957,17950036
sto,17950036,17950050
osa,17950050,17950165
ksk,17950165,17950249
qua,17950249,17950324
iow,17950324,17950399
tta,17950399,17950713
bll,17950713,17950791
ofo,17950791,17950844
mhq,17950844,17950902
cad,17950902,17950964
wic,17950964,17953523
ari,17953523,17953682
kio,17953682,17953743
tow,17953743,17953784
twf,17953784,17954203
sht,17954203,17954364
kyh,17954364,17955318
acv,17955318,17955403
peb,17955403,17955596
peq,17955596,17955736
was,17955736,17955890
sln,17955890,17955979
inz,17955979,17956286
boi,17956286,17956472
veo,17956472,17956607
puy,17956607,17956613
obi,17956613,17956704
crz,17956704,17956834
yuf,17956834,17957218
ppi,17957218,17957292
mov,17957292,17960026
mrc,17960026,17960154
yum,17960154,17960203
coc,17960203,17960570
dih,17960570,17961092
klb,17961092,17962420
clo,17962420,17962470
xcm,17962470,17962528
zkk,17962528,17962567
tsi,17962567,17963754
ncg,17963754,17963769
chh,17963769,17963785
tkm,17963785,17963842
csz,17963842,17963894
sis,17963894,17963955
aes,17963955,17964021
nez,17964021,17964178
kla,17964178,17964316
mbe,17964316,17964371
xcy,17964371,17964382
wnw,17964382,17964539
pwi,17964539,17964550
yok,17964550,17964676
krb,17964676,17964687
cst,17964687,17965154
css,17965154,17965580
csm,17965580,17965749
pmw,17965749,17965933
nsq,17965933,17966121
yuk,17966121,17966215
wao,17966215,17966275
ctm,17966275,17966320
ncz,17966320,17966435
mik,17966435,17966554
pos,17966554,17966667
plo,17966667,17966777
mto,17966777,17966885
mxp,17966885,17967076
zoc,17967076,17967190
hus,17967190,17967384
itz,17967384,17967520
mop,17967520,17967732
chf,17967732,17967910
toj,17967910,17968065
cac,17968065,17968241
mhc,17968241,17968350
jac,17968350,17968607
ttc,17968607,17968742
ixl,17968742,17968916
pao,17968916,17969176
shh,17969176,17982948
com,17982948,17983181
chl,17983181,17983539
ntp,17983539,17983585
stp,17983585,17983627
tar,17983627,17984479
nci,17984479,18018287
crn,18018287,18018339
cut,18018339,18018350
trc,18018350,18018601
ixc,18018601,18018652
coz,18018652,18018732
pca,18018732,18018743
otm,18018743,18018756
pmz,18018756,18018767
ppq,18018767,18018848
chj,18018848,18018897
cuc,18018897,18018978
ctl,18018978,18018989
csa,18018989,18019000
cso,18019000,18019046
cnt,18019046,18019057
cpa,18019057,18019140
cvn,18019140,18019151
chz,18019151,18019168
cnl,18019168,18019179
cle,18019179,18019292
chq,18019292,18019322
cco,18019322,18019677
tcf,18019677,18019822
cuy,18019822,18019876
xin,18019876,18020004
len,18020004,18020122
cuk,18020122,18020200
arh,18020200,18020319
myp,18020319,18020434
tdc,18020434,18020481
kxo,18020481,18020538
ito,18020538,18021422
shb,18021422,18022383
coe,18022383,18022699
snn,18022699,18023745
sey,18023745,18023828
myy,18023828,18023992
tue,18023992,18025078
bsn,18025078,18025311
cbc,18025311,18025523
tav,18025523,18025575
tuo,18025575,18025674
yui,18025674,18025728
gvc,18025728,18028495
pir,18028495,18028566
mbr,18028566,18028680
kwa,18028680,18028714
mbj,18028714,18028795
jup,18028795,18029888
yab,18029888,18029994
nab,18029994,18030107
wmd,18030107,18030142
yme,18030142,18030156
omu,18030156,18030167
yae,18030167,18031170
